iter	Logloss
0	0.687936905
1	0.6832199991
2	0.6793291365
3	0.6746637067
4	0.6708593074
5	0.6670575518
6	0.6634060889
7	0.6600062047
8	0.6568724575
9	0.653944147
10	0.6515545763
11	0.6486068888
12	0.6459504781
13	0.6434116278
14	0.6413461074
15	0.6388684059
16	0.6368246103
17	0.6348762204
18	0.6328449278
19	0.6311026609
20	0.6294598763
21	0.6278090426
22	0.6262700562
23	0.6247511589
24	0.6233270763
25	0.6220301973
26	0.6207162624
27	0.61950758
28	0.6183133769
29	0.6171286675
30	0.6160378269
31	0.6150527709
32	0.6142082713
33	0.6132145126
34	0.6122847713
35	0.6113902859
36	0.6104786707
37	0.6097503556
38	0.6090043048
39	0.6082690541
40	0.6076102202
41	0.6069493388
42	0.6063155471
43	0.6056735714
44	0.6051337488
45	0.6044968387
46	0.6039937652
47	0.6034475108
48	0.6029628197
49	0.6024693674
50	0.602011732
51	0.6015319284
52	0.6010561477
53	0.6005911226
54	0.6002210232
55	0.5997279922
56	0.5993131627
57	0.5989744755
58	0.5985884327
59	0.5982040763
60	0.5978735046
61	0.5975066737
62	0.5971786133
63	0.5968468462
64	0.5965373885
65	0.5962671776
66	0.5959747453
67	0.5956879107
68	0.5954321849
69	0.595189543
70	0.5948700713
71	0.594565987
72	0.5942771179
73	0.5940442926
74	0.5937825145
75	0.5935403178
76	0.5932838101
77	0.5930784433
78	0.5928658647
79	0.5926426873
80	0.5923881841
81	0.5920917428
82	0.5918823014
83	0.5916398012
84	0.5914543408
85	0.5912368662
86	0.5909739762
87	0.5908190484
88	0.5906635274
89	0.5904706983
90	0.5902826324
91	0.5900654645
92	0.5898826921
93	0.5897062971
94	0.5895586601
95	0.5894056114
96	0.5892732031
97	0.5891020197
98	0.5889107328
99	0.5887377299
100	0.5885998626
101	0.5884357266
102	0.5882722329
103	0.5881057855
104	0.5879719971
105	0.5878370825
106	0.58771029
107	0.587539422
108	0.5874363746
109	0.5872892599
110	0.5871855718
111	0.5870412422
112	0.5869114724
113	0.5867503565
114	0.5865996105
115	0.586461918
116	0.586360548
117	0.5862439902
118	0.5861487644
119	0.5860517527
120	0.5859121773
121	0.5857892871
122	0.5856598455
123	0.5855224949
124	0.5854051259
125	0.5852943683
126	0.5851583206
127	0.585032008
128	0.5849087881
129	0.5848213308
130	0.5847180339
131	0.584569799
132	0.5844631532
133	0.5843666858
134	0.5842792508
135	0.5841709619
136	0.5840591588
137	0.5839775487
138	0.5839060557
139	0.5838210404
140	0.5837214733
141	0.5836416656
142	0.5835839444
143	0.583501935
144	0.5833960356
145	0.5832857456
146	0.583202714
147	0.5831236572
148	0.5830222673
149	0.5829619639
150	0.5828814978
151	0.582805168
152	0.5827314066
153	0.58266503
154	0.5825942499
155	0.5825236544
156	0.5824717605
157	0.5823928726
158	0.5822919714
159	0.5822188501
160	0.5821104792
161	0.5820256383
162	0.5819248204
163	0.5818582241
164	0.581800116
165	0.5817205258
166	0.5816604332
167	0.5815891193
168	0.5814752771
169	0.5814233483
170	0.5813664097
171	0.5812928198
172	0.5812125302
173	0.581166566
174	0.5810836187
175	0.5810292926
176	0.5809366313
177	0.5808777952
178	0.5808056536
179	0.580750621
180	0.5806746077
181	0.5806060993
182	0.5805549046
183	0.58049653
184	0.5804503713
185	0.5803955502
186	0.5803363311
187	0.5802571689
188	0.5801834659
189	0.580110433
190	0.5800594352
191	0.580004425
192	0.5799417281
193	0.5798825454
194	0.5798409647
195	0.579787657
196	0.5797384893
197	0.5797014857
198	0.5796445986
199	0.5795796131
200	0.5795042597
201	0.5794339819
202	0.5793941708
203	0.5793388845
204	0.5792787104
205	0.5792162393
206	0.5791828581
207	0.5790929704
208	0.5790415325
209	0.5789473533
210	0.5788620698
211	0.5788033479
212	0.5787601691
213	0.5787197326
214	0.5786642562
215	0.5786021263
216	0.5785408929
217	0.5784984093
218	0.5784369763
219	0.5783986842
220	0.5783441694
221	0.5782873652
222	0.5782443978
223	0.5782001151
224	0.5781618471
225	0.5781236236
226	0.5780852037
227	0.5780281632
228	0.5779841074
229	0.5779432678
230	0.5778994356
231	0.577861839
232	0.5777951557
