CODE_VILLE,BPR,GENDER,MARITAL_STATUS,NOMBRE_ENFANT,CUSTOMER_RATING,TAILLE_ENTREPRI,age_client,label_code,label_nom,pack_actuel,pack_etat,solde_moyen,solde_min,nb_mois_observes_solde,depot_moyen,flux_cred_total,nb_mois_avec_flux,nb_operations_gab,montant_total_gab,montant_moyen_gab,nb_retraits,montant_total_retraits,nb_paiements_digitaux,montant_total_payfac,nb_vignettes_payees,montant_total_vignette,label_eligibilite,jamais_active_digital,jamais_utilise_gab,anciennete_digitale_jours_imp,recence_gab_jours_imp,nb_mois_observes_solde_etait_extreme,NOMBRE_ENFANT_etait_extreme,solde_moyen_etait_extreme,solde_min_etait_extreme,solde_max_etait_extreme,depot_moyen_etait_extreme,flux_cred_moyen_etait_extreme,flux_cred_total_etait_extreme,montant_total_gab_etait_extreme,montant_moyen_gab_etait_extreme,montant_total_retraits_etait_extreme,montant_total_payfac_etait_extreme,montant_total_vignette_etait_extreme,solde_volatilite_indefinie,solde_volatilite_relative_imp
450,45,F,1,0,SVC,PARTICULIER,49,,,PFA01,W,-169.82083333333333,-591.75,24,149.93500000000003,0.0,0,3,0.0,0.0,1,200.0,0,0.0,0,0.0,0.0,0,0,2463,803,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
780,78,F,1,0,SVC,PARTICULIER,33,,,PFA01,W,-4075.4925,-1033.2150000000001,24,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1,3178,699,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
590,45,M,1,0,SVC,PARTICULIER,30,,,SANS_PACK,SANS_ETAT,-845.6816666666667,-974.84,24,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1,2561,699,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
780,78,F,1,0,SVC,PARTICULIER,47,,,PFA01,W,-3665.3062499999996,-1033.2150000000001,24,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1,2561,699,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
720,64,F,9,0,JNE,PARTICULIER,24,,,PJUN5,W,458.42375000000004,-183.7,16,1130.3475,0.0,0,10,30.0,3.0,4,9000.0,0,0.0,0,0.0,0.0,0,0,1122,815,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,14.35963996193478
720,64,M,1,0,SVC,PARTICULIER,36,,,PLOCI,W,-409.95550724637684,-1033.2150000000001,36,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1,3178,699,1,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
720,64,F,4,3,SIL,PARTICULIER,68,,,PLOCI,W,306.16499999999996,-32.88,24,749.050476190476,18600.489999999998,8,44,0.0,0.0,32,29500.0,0,0.0,0,0.0,0.0,1,0,2561,665,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,4.982705403948852
780,78,M,1,0,SVC,PARTICULIER,36,,,PLOC2,W,150.4587500000001,-849.31,24,1102.5872727272729,0.0,0,2,0.0,0.0,29,59700.0,54,9865.78,0,0.0,0.0,0,0,3178,1230,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,47.4284812282436
430,43,M,9,0,PLT,PARTICULIER,31,,,PJUN5,W,28334.288333333323,847.065,24,45272.472928571435,231919.675,13,5,0.0,0.0,153,101250.0,49,9158.650000000001,4,2900.0,0.0,0,0,3179,856,0,0.0,1,1,1,1,1,1,0.0,0.0,1,0.0,0.0,0,3.5805933717645884
101,45,M,9,0,SVC,PARTICULIER,28,09,MaRetraite,PLOC1,W,-709.57,-1033.2150000000001,24,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,1,3179,699,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
